"Time, hr",Compound A,Compound B,Compound C,Compound D,Compound E,Compound F,Compound G,Compound H,Compound I
609.21,0.465346201,2.223513787,-0.590130249,0.35628744,0.274294274,0.029589897,0.232146158,0.074944025,-1.877738506
609.31,0.465275482,2.223513324,-0.590130249,0.356287443,0.274295603,0.029666528,0.232239957,0.074944025,-1.877738506
609.41,0.465246439,2.223512861,-0.590130249,0.356287446,0.274296932,0.02974446,0.232333757,0.074944025,-1.877738506
609.51,0.465257017,2.223512398,-0.590130249,0.356287449,0.274298261,0.029822392,0.232427556,0.074944025,-1.877738506
609.61,0.465303992,2.223511935,-0.590130249,0.356287452,0.27429959,0.029900324,0.232521356,0.074944025,-1.877738506
609.71,0.465383057,2.223511472,-0.590130248,0.356287455,0.274300919,0.029974765,0.232615156,0.074944025,-1.877738506
609.81,0.465489343,2.223511009,-0.590130248,0.356287458,0.274302248,0.03004019,0.232708955,0.074944025,-1.877738506
609.91,0.465616088,2.223510546,-0.590130248,0.356287461,0.274303577,0.030095988,0.23277709,0.074944025,-1.877738506
610.01,0.465760219,2.223510083,-0.590130248,0.356287464,0.274304906,0.030142831,0.232828116,0.074944025,-1.877738506
610.11,0.465915587,2.22350962,-0.590130248,0.356287467,0.274305053,0.030179084,0.23286074,0.074944025,-1.877738506
610.21,0.466071627,2.223509157,-0.590130248,0.35628747,0.274304903,0.030205307,0.232885478,0.074944025,-1.877738506
610.31,0.466228115,2.223508694,-0.590130248,0.356287473,0.274304754,0.030221251,0.232892124,0.074944025,-1.877738506
610.41,0.466381214,2.223508231,-0.590130248,0.356287476,0.274304604,0.030227197,0.232891016,0.074944025,-1.877738506
610.51,0.46652322,2.223507768,-0.590130248,0.356287479,0.274304455,0.030224367,0.232876299,0.074944025,-1.877738506
610.61,0.466650891,2.223507305,-0.590130248,0.356287483,0.274304305,0.03021331,0.232852509,0.074944025,-1.877738506
610.71,0.466764413,2.223506842,-0.590130247,0.356287486,0.274304156,0.030194992,0.232823319,0.074944025,-1.877738506
610.81,0.466856518,2.223506379,-0.590130247,0.356287489,0.274304006,0.030168539,0.232781529,0.074944025,-1.877738506
610.91,0.466929205,2.223505916,-0.590130247,0.356287492,0.274303857,0.030139295,0.232739739,0.074944025,-1.877738506
611.01,0.466981161,2.223505454,-0.590130247,0.356287495,0.274303707,0.030105866,0.232697949,0.074944025,-1.877738506
611.11,0.46701251,2.223504991,-0.590130247,0.356287498,0.274303558,0.030071465,0.232654169,0.074944025,-1.877738506
611.21,0.467023927,2.223504528,-0.590130247,0.356287501,0.274303408,0.03003609,0.232610389,0.074944025,-1.877738506
611.31,0.467015513,2.223504065,-0.590130247,0.356287504,0.274303259,0.030000715,0.232566609,0.074944025,-1.877738506
611.41,0.466993071,2.223503602,-0.590130247,0.356287507,0.274303109,0.02996534,0.232522829,0.074944025,-1.877738506
611.51,0.466953838,2.223503139,-0.590130247,0.35628751,0.27430296,0.029929965,0.232479049,0.074944025,-1.877738506
611.61,0.466901436,2.223502676,-0.590130247,0.356287513,0.27430281,0.02989459,0.232435269,0.074944025,-1.877738506
611.71,0.466839273,2.223502213,-0.590130246,0.356287516,0.274302661,0.029865176,0.232395596,0.074944025,-1.877738506
611.81,0.46677066,2.22350175,-0.590130246,0.356287519,0.274302511,0.02983893,0.232372352,0.074944025,-1.877738506
611.91,0.466698961,2.223501287,-0.590130246,0.356287522,0.274302362,0.029818206,0.232349108,0.074944025,-1.877738506
612.01,0.466626083,2.223500824,-0.590130246,0.356287525,0.274302212,0.029801817,0.232327619,0.074944025,-1.877738506
612.11,0.466553204,2.223500361,-0.590130246,0.356287528,0.274302063,0.029789268,0.232321923,0.074944025,-1.877738506
612.21,0.466480326,2.223499898,-0.590130246,0.356287531,0.274301913,0.02978134,0.232316228,0.074944025,-1.877738506
612.31,0.466412808,2.223499435,-0.590130246,0.356287535,0.274301764,0.029778862,0.232313727,0.074944025,-1.877738506
612.41,0.46635236,2.223498972,-0.590130246,0.356287538,0.274301614,0.029779012,0.232324001,0.074944025,-1.877738506
612.51,0.466300397,2.223498509,-0.590130246,0.356287541,0.274301465,0.029784226,0.232334275,0.074944025,-1.877738506
612.61,0.466257695,2.223498046,-0.590130246,0.356287544,0.274301315,0.029792714,0.23234455,0.074944025,-1.877738506
612.71,0.466224116,2.223497583,-0.590130245,0.356287547,0.274301166,0.029803383,0.232364226,0.074944025,-1.877738506
612.81,0.466200206,2.22349712,-0.590130245,0.35628755,0.274301016,0.029818371,0.232386254,0.074944025,-1.877738506
612.91,0.466185876,2.223496657,-0.590130245,0.356287553,0.274300867,0.029833838,0.232408281,0.074944025,-1.877738506
613.01,0.466180872,2.223496194,-0.590130245,0.356287556,0.274300717,0.029849798,0.232430309,0.074944025,-1.877738506
613.11,0.466183992,2.223495731,-0.590130245,0.356287559,0.274300568,0.029866497,0.232452336,0.074944025,-1.877738506
613.21,0.466195214,2.223495268,-0.590130245,0.356287562,0.274300418,0.029883197,0.232474364,0.074944025,-1.877738506
613.31,0.466212799,2.223494805,-0.590130245,0.356287565,0.274300269,0.029899896,0.232492024,0.074944025,-1.877738506
613.41,0.46623598,2.223494342,-0.590130245,0.356287568,0.274300119,0.029916596,0.232509685,0.074944025,-1.877738506
613.51,0.466265141,2.223493879,-0.590130245,0.356287571,0.27429997,0.029933295,0.232527346,0.074944025,-1.877738506
613.61,0.466294645,2.223493416,-0.590130245,0.356287574,0.27429982,0.029949995,0.232545007,0.074944025,-1.877738506
613.71,0.466325522,2.223492953,-0.590130244,0.356287577,0.274299671,0.029961686,0.232562667,0.074944025,-1.877738506
613.81,0.4663564,2.223492491,-0.590130244,0.35628758,0.274299521,0.029972125,0.232573462,0.074944025,-1.877738506
613.91,0.466387277,2.223492028,-0.590130244,0.356287583,0.274299372,0.029979807,0.232577392,0.074944025,-1.877738506
614.01,0.466418154,2.223491565,-0.590130244,0.356287586,0.274299222,0.029984824,0.232581321,0.074944025,-1.877738506
614.11,0.466449031,2.223491102,-0.590130244,0.35628759,0.274299073,0.029988869,0.232585251,0.074944025,-1.877738506
614.21,0.466479908,2.223490639,-0.590130244,0.356287593,0.274298923,0.029989028,0.232589181,0.074944025,-1.877738506
614.31,0.466502909,2.223490176,-0.590130244,0.356287596,0.274298774,0.029989187,0.232582786,0.074944025,-1.877738506
614.41,0.466522737,2.223489713,-0.590130244,0.356287599,0.274298624,0.02998487,0.232575244,0.074944025,-1.877738506
614.51,0.466537742,2.22348925,-0.590130244,0.356287602,0.274298475,0.029980554,0.232567702,0.074944025,-1.877738506
614.61,0.466547956,2.223488787,-0.590130244,0.356287605,0.274298325,0.029975198,0.23256016,0.074944025,-1.877738506
614.71,0.466555134,2.223488324,-0.590130243,0.356287608,0.274298176,0.02996742,0.232552618,0.074944025,-1.877738506
614.81,0.466558024,2.223487861,-0.590130243,0.356287611,0.274298026,0.029959642,0.23254436,0.074944025,-1.877738506
614.91,0.46655719,2.223487398,-0.590130243,0.356287614,0.274297877,0.029951864,0.232526982,0.074944025,-1.877738506
615.01,0.466516088,-1.130867968,-0.819444762,0.606922451,-0.412264348,0.015180256,-0.155758282,0.369094478,0.021855789
615.11,0.531589801,-2.882049484,-0.819444766,0.606922456,-0.420609099,-0.019226667,-0.449551531,0.369094481,0.021855809
615.21,0.563552356,-3.231204513,-0.819444766,0.606922457,-0.423403784,-0.041538351,-0.49124161,0.369094481,0.021855809
615.31,0.517947316,-3.306018361,-0.819444767,0.606922457,-0.414822139,-0.052954173,-0.498327015,0.369094481,0.021855809
615.41,0.45586384,-3.321351915,-0.819444767,0.606922458,-0.377564404,-0.057620263,-0.493236401,0.369094481,0.021855809
615.51,0.409258061,-3.324752902,-0.819444768,0.606922458,-0.344506328,-0.058555718,-0.485505787,0.369094481,0.021855809
615.61,0.38342026,-3.325804768,-0.819444768,0.606922459,-0.334942189,-0.05813732,-0.481321956,0.369094481,0.021855809
615.71,0.367055256,-3.326153265,-0.819444769,0.606922459,-0.337626928,-0.057846455,-0.481022779,0.369094481,0.021855809
615.81,0.351263036,-3.326246742,-0.819444769,0.606922459,-0.339324304,-0.057810618,-0.481376778,0.369094481,0.021855809
615.91,0.335590555,-3.326311884,-0.819444769,0.60692246,-0.337833779,-0.057802486,-0.481047678,0.369094481,0.021855809
616.01,0.321948441,-3.326377025,-0.81944477,0.60692246,-0.335214017,-0.057725511,-0.480166728,0.369094481,0.021855809
616.11,0.311417228,-3.326442167,-0.81944477,0.606922461,-0.333181457,-0.057580119,-0.47926342,0.369094481,0.021855809
616.21,0.303725038,-3.326474622,-0.819444771,0.606922461,-0.332574376,-0.057437301,-0.478659861,0.369094481,0.021855809
616.31,0.297989378,-3.326474391,-0.819444771,0.606922462,-0.332689341,-0.057334541,-0.478315206,0.369094481,0.021855809
616.41,0.293458623,-3.326474159,-0.819444772,0.606922462,-0.332904155,-0.057284462,-0.478150499,0.369094481,0.021855809
616.51,0.289785209,-3.326473928,-0.819444772,0.606922463,-0.33301693,-0.057270446,-0.478048033,0.369094481,0.021855809
616.61,0.286884937,-3.326473697,-0.819444772,0.606922463,-0.332975696,-0.057274144,-0.477952481,0.369094481,0.021855809
616.71,0.284698632,-3.326473465,-0.819444773,0.606922464,-0.3329258,-0.057285005,-0.477874046,0.369094481,0.021855809
616.81,0.283118397,-3.326473234,-0.819444773,0.606922464,-0.332875903,-0.057310854,-0.477846385,0.369094481,0.021855809
616.91,0.282004489,-3.326473003,-0.819444774,0.606922464,-0.332865461,-0.057344294,-0.477846448,0.369094481,0.021855809
617.01,0.281232499,-3.326472771,-0.819444774,0.606922465,-0.332859403,-0.05738511,-0.477869068,0.369094481,0.021855809
617.11,0.280710424,-3.32647254,-0.819444774,0.606922465,-0.332853346,-0.05742702,-0.477897838,0.369094481,0.021855809
617.21,0.280376472,-3.326472309,-0.819444775,0.606922466,-0.332847288,-0.05747057,-0.477935832,0.369094481,0.021855809
617.31,0.28018473,-3.326472078,-0.819444775,0.606922466,-0.33284123,-0.057512839,-0.477973828,0.369094481,0.021855809
617.41,0.280093507,-3.326471846,-0.819444776,0.606922467,-0.332822328,-0.057552184,-0.478005192,0.369094481,0.021855809
617.51,0.280064908,-3.326471615,-0.819444776,0.606922467,-0.33278416,-0.05758544,-0.478036802,0.369094481,0.021855809
617.61,0.28006295,-3.326471384,-0.819444777,0.606922468,-0.332745992,-0.057614304,-0.478056639,0.369094481,0.021855809
617.71,0.280064903,-3.326471152,-0.819444777,0.606922468,-0.332707823,-0.057637372,-0.478075285,0.369094481,0.021855809
617.81,0.280063811,-3.326470921,-0.819444777,0.606922469,-0.332669654,-0.057655308,-0.478083388,0.369094481,0.021855809
617.91,0.280038246,-3.32647069,-0.819444778,0.606922469,-0.332631484,-0.057665528,-0.478083352,0.369094481,0.021855809
618.01,0.27998279,-3.326470458,-0.819444778,0.60692247,-0.332593315,-0.057668837,-0.478070052,0.369094481,0.021855809
618.11,0.279895085,-3.326470227,-0.819444779,0.60692247,-0.332555144,-0.057665348,-0.478051067,0.369094481,0.021855809
618.21,0.279775952,-3.326469996,-0.819444779,0.60692247,-0.332525938,-0.057656451,-0.478024034,0.369094481,0.021855809
618.31,0.279628965,-3.326469764,-0.81944478,0.606922471,-0.332497727,-0.057642168,-0.477994988,0.369094481,0.021855809
618.41,0.279455567,-3.326469533,-0.81944478,0.606922471,-0.332469517,-0.057622293,-0.477957421,0.369094481,0.021855809
618.51,0.279258699,-3.326469302,-0.81944478,0.606922472,-0.332441306,-0.057597591,-0.477914172,0.369094481,0.021855809
618.61,0.279040199,-3.326469071,-0.819444781,0.606922472,-0.332413094,-0.057572139,-0.477871851,0.369094481,0.021855809
618.71,0.278809607,-3.326468839,-0.819444781,0.606922473,-0.332398517,-0.057543843,-0.47783309,0.369094481,0.021855809
618.81,0.278577685,-3.326468608,-0.819444782,0.606922473,-0.332393029,-0.057515547,-0.477793989,0.369094481,0.021855809
618.91,0.278351609,-3.326468377,-0.819444782,0.606922474,-0.332387542,-0.057487497,-0.477754889,0.369094481,0.021855809
619.01,0.278140955,-3.326468145,-0.819444782,0.606922474,-0.332382054,-0.057459509,-0.477715789,0.369094481,0.021855809
619.11,0.277949212,-3.326467914,-0.819444783,0.606922475,-0.332376566,-0.05743152,-0.477676688,0.369094481,0.021855809
619.21,0.277783357,-3.326467683,-0.819444783,0.606922475,-0.332371078,-0.057406948,-0.477637588,0.369094481,0.021855809
619.31,0.277648657,-3.326467451,-0.819444784,0.606922475,-0.33237461,-0.05738384,-0.477610084,0.369094481,0.021855809
619.41,0.277549451,-3.32646722,-0.819444784,0.606922476,-0.332378141,-0.057366277,-0.47758755,0.369094481,0.021855809
619.51,0.277487284,-3.326466989,-0.819444785,0.606922476,-0.332381671,-0.057349805,-0.477564727,0.369094481,0.021855809
619.61,0.277461917,-3.326466757,-0.819444785,0.606922477,-0.332385199,-0.057337931,-0.477555812,0.369094481,0.021855809
619.71,0.277471511,-3.326466526,-0.819444785,0.606922477,-0.332388726,-0.057330403,-0.477548441,0.369094481,0.021855809
619.81,0.277513705,-3.326466295,-0.819444786,0.606922478,-0.332392254,-0.057325566,-0.477542453,0.369094481,0.021855809
619.91,0.277587509,-3.326466063,-0.819444786,0.606922478,-0.332395781,-0.057324475,-0.477548907,0.369094481,0.021855809
620.01,0.277690894,-3.326465832,-0.819444787,0.606922479,-0.332399308,-0.057326726,-0.477555361,0.369094481,0.021855809
620.11,0.277814591,-3.326465601,-0.819444787,0.606922479,-0.332402836,-0.057330873,-0.477561814,0.369094481,0.021855809
620.21,0.277950396,-3.32646537,-0.819444787,0.60692248,-0.332406363,-0.057339188,-0.477580105,0.369094481,0.021855809
620.31,0.278092868,-3.326465138,-0.819444788,0.60692248,-0.332409891,-0.057348999,-0.477598396,0.369094481,0.021855809
620.41,0.27823592,-3.326464907,-0.819444788,0.606922481,-0.332413418,-0.057361052,-0.477616686,0.369094481,0.021855809
620.51,0.27837904,-3.326464676,-0.819444789,0.606922481,-0.332416945,-0.057373105,-0.477634977,0.369094481,0.021855809
620.61,0.278513709,-3.326464444,-0.819444789,0.606922481,-0.332420473,-0.057385582,-0.477653097,0.369094481,0.021855809
